;BGZ_01;01 ENGINE
;BGZ_02;02 GEARBOX / CLUTCH / UNIVERSAL DRIVE SHAFT
;BGZ_03;03 CHASSIS
;BGZ_04;04 BRAKE
;BGZ_05;05 STEERING
;BGZ_06;06 LIFT DEVICE
;BGZ_07;07 HITCH
;BGZ_08;08 DRIVES
;BGZ_09;09 HYDRAULIC SYSTEM
;BGZ_10;10 ELECTRICAL / ELECTRONIC EQUIPMENT
;BGZ_11;11 PNEUMATIC
;BGZ_12;12 CAB / OPERATOR'S PLATFORM
;BGZ_20;20 CROP FEEDING
;BGZ_21;21 FEEDER UNIT
;BGZ_23;23 MOWER UNIT
;BGZ_24;24 SNAPPING DEVICE
;BGZ_25;25 ADAPTER
;BGZ_26;26 GROUND GUIDANCE
;BGZ_40;40 CROP PROCESSING UNIT
;BGZ_41;41 THRESHING MECHANISM
;BGZ_42;42 SEPARATION
;BGZ_43;43 CLEANING SYSTEM
;BGZ_44;44 CHOPPING
;BGZ_45;45 BALING SYSTEM
;BGZ_46;46 TYING SYSTEM
;BGZ_47;47 BALE WRAPPER
;BGZ_60;60 CROP / STRAW DISCHARGE
;BGZ_61;61 GRAIN DELIVERY
;BGZ_62;62 DISCHARGE
;BGZ_75;75 CENTRAL LUBRICATION SYSTEM
;BGZ_80;80 VARIOUS COMPONENTS / MACHINE BODY
;BGZ_90;90 MISCELLANEOUS
;BGZ_92;92 DIAGNOSIS
;BGZ_95;95 MAINTENANCE
;BGZ_99;99 COMPLETE MACHINE
BGZ_01;BGZ_0100;0100 ENGINE
BGZ_01;BGZ_0102;0102 COMPLETE COMPONENT
BGZ_01;BGZ_0105;0105 ENGINE SUSPENSION
BGZ_01;BGZ_0110;0110 ENGINE HOUSING
BGZ_01;BGZ_0115;0115 ENGINE UNIT
BGZ_01;BGZ_0120;0120 CYLINDER HEAD / VALVES / IDLER GEAR
BGZ_01;BGZ_0125;0125 INJECTION - / FUEL SYSTEM
BGZ_01;BGZ_0130;0130 LUBRICATING OIL SYSTEM
BGZ_01;BGZ_0135;0135 COOLING SYSTEM
BGZ_01;BGZ_0140;0140 EXHAUST SYSTEM
BGZ_01;BGZ_0145;0145 AIR INTAKE
BGZ_01;BGZ_0150;0150 ENGINE ATTACHMENT PARTS
BGZ_01;BGZ_0155;0155 ENGINE CONTROL
BGZ_01;BGZ_0160;0160 ENGINE BRAKE
BGZ_01;BGZ_0165;0165 EXHAUST GAS TREATMENT
BGZ_01;BGZ_0190;0190 ACCESSORIES
BGZ_0100;BGZ_0100000;0100000 ENGINE
BGZ_0100;BGZ_0100900;0100900 RETROFIT KIT
BGZ_0102;BGZ_0102010;0102010 COMPLETE ENGINE
BGZ_0102;BGZ_0102900;0102900 RETROFIT KIT
BGZ_0105;BGZ_0105100;0105100 ENGINE SUSPENSION
BGZ_0105;BGZ_0105900;0105900 RETROFIT KIT
BGZ_0110;BGZ_0110100;0110100 CRANKCASE
BGZ_0110;BGZ_0110120;0110120 TIMING CASE
BGZ_0110;BGZ_0110140;0110140 FLYWHEEL HOUSING
BGZ_0110;BGZ_0110160;0110160 OIL PAN
BGZ_0110;BGZ_0110180;0110180 PLUGS
BGZ_0110;BGZ_0110200;0110200 CRANK CASE BREATHER
BGZ_0110;BGZ_0110900;0110900 RETROFIT KIT
BGZ_0115;BGZ_0115100;0115100 CYLINDER LINER, PISTON
BGZ_0115;BGZ_0115120;0115120 CONNECTING ROD, CONNECTING ROD BEARINGS
BGZ_0115;BGZ_0115140;0115140 CRANKSHAFT
BGZ_0115;BGZ_0115160;0115160 CRANKSHAFT PULLEY WHEEL
BGZ_0115;BGZ_0115161;0115161 CRANKSHAFT PULLEY WHEEL
BGZ_0115;BGZ_0115180;0115180 CRANKSHAFT DAMPER
BGZ_0115;BGZ_0115200;0115200 MASS BALANCING
BGZ_0115;BGZ_0115220;0115220 FLYWHEEL
BGZ_0115;BGZ_0115900;0115900 RETROFIT KIT
BGZ_0120;BGZ_0120100;0120100 CYLINDER HEAD
BGZ_0120;BGZ_0120120;0120120 CYLINDER HEAD COVER
BGZ_0120;BGZ_0120140;0120140 VALVES
BGZ_0120;BGZ_0120160;0120160 ROCKER ARM
BGZ_0120;BGZ_0120180;0120180 CAMSHAFT, CAMSHAFT BEARING BUSHES
BGZ_0120;BGZ_0120200;0120200 IDLER GEAR
BGZ_0120;BGZ_0120201;0120201 IDLER GEAR
BGZ_0120;BGZ_0120900;0120900 RETROFIT KIT
BGZ_0125;BGZ_0125100;0125100 FUEL TANK
BGZ_0125;BGZ_0125110;0125110 ADITIONAL FUEL TANK
BGZ_0125;BGZ_0125112;0125112 FUEL LINE PROTECTION
BGZ_0125;BGZ_0125120;0125120 FUEL DELIVERY PUMP
BGZ_0125;BGZ_0125140;0125140 FUEL PIPES
BGZ_0125;BGZ_0125160;0125160 FUEL FILTER
BGZ_0125;BGZ_0125180;0125180 FUEL COOLER
BGZ_0125;BGZ_0125200;0125200 INJECTION PUMP
BGZ_0125;BGZ_0125220;0125220 INJECTION PIPES
BGZ_0125;BGZ_0125240;0125240 INJECTORS
BGZ_0125;BGZ_0125260;0125260 FUEL PREHEATING
BGZ_0125;BGZ_0125900;0125900 RETROFIT KIT
BGZ_0125;BGZ_0125910;0125910 REPAIR KIT
BGZ_0125;BGZ_0125940;0125940 FILTER KIT
BGZ_0125;BGZ_0125960;0125960 AFTER SALES FITTING
BGZ_0130;BGZ_0130100;0130100 OIL PUMP
BGZ_0130;BGZ_0130120;0130120 OIL FILTER
BGZ_0130;BGZ_0130140;0130140 OIL PIPES
BGZ_0130;BGZ_0130141;0130141 OIL PIPES
BGZ_0130;BGZ_0130160;0130160 OIL COOLER
BGZ_0130;BGZ_0130180;0130180 OIL LEVEL DIPSTICK / OIL FILLER NECK
BGZ_0130;BGZ_0130200;0130200 OIL DRAIN HOSE
BGZ_0130;BGZ_0130900;0130900 RETROFIT KIT
BGZ_0130;BGZ_0130910;0130910 REPAIR KIT
BGZ_0130;BGZ_0130960;0130960 AFTER SALES FITTING
BGZ_0135;BGZ_0135020;0135020 SENSORS
BGZ_0135;BGZ_0135100;0135100 RADIATOR AIR DUCT
BGZ_0135;BGZ_0135101;0135101 RADIATOR AIR DUCT
BGZ_0135;BGZ_0135120;0135120 FAN / BELT
BGZ_0135;BGZ_0135130;0135130 FAN REVERSE
BGZ_0135;BGZ_0135140;0135140 ENGINE COOLER
BGZ_0135;BGZ_0135141;0135141 ENGINE COOLER
BGZ_0135;BGZ_0135145;0135145 ENGINE RADIATOR LINES
BGZ_0135;BGZ_0135160;0135160 EXPANSION TANK
BGZ_0135;BGZ_0135180;0135180 COOLANT PUMP
BGZ_0135;BGZ_0135200;0135200 WATER COLLECTOR
BGZ_0135;BGZ_0135220;0135220 THERMOSTAT / HOUSING
BGZ_0135;BGZ_0135235;0135235 FAN BLADE
